step,b1_x,b1_y,b2_x,b2_y,b3_x,b3_y
89,0.715838,0.555216,-0.763864,-0.253829,-0.401974,0.698612
90,0.708762,0.561987,-0.758523,-0.25346,-0.405239,0.691474
91,0.701576,0.568749,-0.753117,-0.252983,-0.408459,0.684234
92,0.694279,0.575502,-0.747645,-0.252393,-0.411635,0.676891
93,0.686871,0.582244,-0.742106,-0.25169,-0.414764,0.669445
94,0.679348,0.588975,-0.736501,-0.250869,-0.417847,0.661894
95,0.671712,0.595692,-0.730829,-0.249928,-0.420883,0.654236
96,0.66396,0.602394,-0.72509,-0.248865,-0.42387,0.646471
97,0.656092,0.60908,-0.719283,-0.247675,-0.426809,0.638595
98,0.648107,0.615748,-0.713407,-0.246357,-0.429699,0.630609
99,0.640002,0.622397,-0.707463,-0.244906,-0.432539,0.622509
100,0.631778,0.629025,-0.701449,-0.243319,-0.435329,0.614294
101,0.623434,0.63563,-0.695366,-0.241591,-0.438068,0.605962
102,0.614967,0.64221,-0.689213,-0.23972,-0.440755,0.59751
103,0.606378,0.648764,-0.682988,-0.237701,-0.44339,0.588936
104,0.597664,0.65529,-0.676693,-0.235528,-0.445972,0.580238
105,0.588826,0.661785,-0.670326,-0.233198,-0.448501,0.571413
106,0.579862,0.668248,-0.663886,-0.230705,-0.450976,0.562457
107,0.57077,0.674677,-0.657374,-0.228045,-0.453397,0.553367
108,0.561551,0.681069,-0.650788,-0.22521,-0.455763,0.544141
109,0.552202,0.687423,-0.644128,-0.222196,-0.458074,0.534773
110,0.542724,0.693735,-0.637394,-0.218994,-0.46033,0.525259
111,0.533114,0.700004,-0.630584,-0.215599,-0.46253,0.515595
112,0.523373,0.706227,-0.623699,-0.212003,-0.464674,0.505776
113,0.5135,0.712401,-0.616738,-0.208197,-0.466761,0.495796
114,0.503493,0.718525,-0.6097,-0.204173,-0.468792,0.485648
115,0.493351,0.724594,-0.602585,-0.19992,-0.470766,0.475326
116,0.483075,0.730607,-0.595393,-0.195429,-0.472683,0.464822
117,0.472664,0.73656,-0.588122,-0.190688,-0.474542,0.454127
118,0.462117,0.742451,-0.580773,-0.185683,-0.476344,0.443232
119,0.451433,0.748277,-0.573345,-0.180402,-0.478088,0.432125
120,0.440612,0.754034,-0.565838,-0.174829,-0.479774,0.420795
121,0.429653,0.759719,-0.558253,-0.168946,-0.481401,0.409227
122,0.418558,0.765329,-0.550589,-0.162734,-0.482968,0.397405
123,0.407324,0.770861,-0.542848,-0.156172,-0.484476,0.385311
124,0.395953,0.776312,-0.53503,-0.149236,-0.485923,0.372924
125,0.384443,0.781677,-0.527136,-0.141896,-0.487307,0.360219
126,0.372796,0.786954,-0.51917,-0.134121,-0.488626,0.347168
127,0.361012,0.792138,-0.511135,-0.125874,-0.489877,0.333736
128,0.34909,0.797226,-0.503034,-0.117109,-0.491056,0.319883
129,0.337031,0.802215,-0.494875,-0.107775,-0.492156,0.30556
130,0.324837,0.8071,-0.486669,-0.0978065,-0.493168,0.290707
131,0.312506,0.811878,-0.478428,-0.0871255,-0.494078,0.275248
132,0.300041,0.816544,-0.470174,-0.0756328,-0.494868,0.259089
133,0.287442,0.821095,-0.461938,-0.0632003,-0.495504,0.242106
134,0.27471,0.825526,-0.45377,-0.0496573,-0.495941,0.224131
135,0.261847,0.829834,-0.445751,-0.0347671,-0.496096,0.204934
136,0.248852,0.834013,-0.438023,-0.0181836,-0.495829,0.18417
137,0.235728,0.838061,-0.430864,0.000636009,-0.494864,0.161303
138,0.222476,0.841971,-0.424888,0.0226299,-0.492589,0.135399
139,0.209097,0.845741,-0.421829,0.0496515,-0.487267,0.104608
140,0.195591,0.849363,-0.429198,0.0855561,-0.471393,0.0650807
141,0.181959,0.852835,-0.477401,0.101693,-0.414557,0.0454723
142,0.168202,0.856151,-0.515057,0.108528,-0.368145,0.0353211
143,0.154322,0.859308,-0.549325,0.11378,-0.324997,0.0269123
144,0.140323,0.862302,-0.581915,0.118476,-0.283407,0.0192214
145,0.126208,0.865129,-0.613483,0.122921,-0.242726,0.0119497
146,0.111984,0.867786,-0.644346,0.127239,-0.202638,0.00497572
147,0.0976549,0.870268,-0.674687,0.131492,-0.162968,-0.00175989
148,0.083228,0.872574,-0.704618,0.135715,-0.12361,-0.00828971
149,0.0687106,0.874703,-0.734216,0.13993,-0.0844948,-0.0146335
150,0.0541099,0.876654,-0.763533,0.144151,-0.0455769,-0.0208043
151,0.039434,0.878427,-0.792609,0.148385,-0.00682504,-0.0268121
152,0.0246905,0.880025,-0.821473,0.152639,0.0317825,-0.0326646
153,0.00988696,0.881451,-0.850148,0.156919,0.0702608,-0.0383694
154,-0.0049693,0.882708,-0.878652,0.161225,0.108621,-0.0439332
155,-0.0198717,0.883802,-0.906999,0.165561,0.146871,-0.0493631
156,-0.0348141,0.884738,-0.935202,0.169928,0.185017,-0.0546662
157,-0.0497913,0.885522,-0.963271,0.174328,0.223063,-0.0598497
158,-0.0647988,0.886161,-0.991214,0.178759,0.261013,-0.0649207
159,-0.0798326,0.886662,-1.01904,0.183224,0.298871,-0.0698863
160,-0.0948899,0.887032,-1.04675,0.187722,0.33664,-0.0747536
161,-0.109968,0.887277,-1.07435,0.192253,0.374322,-0.0795294
162,-0.125065,0.887404,-1.10186,0.196816,0.41192,-0.0842202
163,-0.14018,0.88742,-1.12926,0.201413,0.449438,-0.0888324
164,-0.155312,0.88733,-1.15657,0.206041,0.486878,-0.0933717
165,-0.170461,0.887142,-1.18378,0.210702,0.524243,-0.0978437
166,-0.185626,0.88686,-1.21091,0.215394,0.561536,-0.102254
167,-0.200807,0.886489,-1.23795,0.220117,0.598759,-0.106606
168,-0.216005,0.886035,-1.26491,0.224871,0.635915,-0.110906
169,-0.231221,0.885502,-1.29179,0.229654,0.673007,-0.115156
170,-0.246454,0.884894,-1.31858,0.234467,0.710037,-0.119362
171,-0.261706,0.884216,-1.3453,0.23931,0.747009,-0.123526
172,-0.276977,0.883471,-1.37195,0.24418,0.783923,-0.127651
173,-0.292268,0.882662,-1.39852,0.249078,0.820783,-0.13174
174,-0.30758,0.881793,-1.42501,0.254004,0.857592,-0.135797
175,-0.322913,0.880867,-1.45144,0.258956,0.89435,-0.139823
176,-0.338269,0.879886,-1.47779,0.263934,0.931061,-0.14382
177,-0.353648,0.878853,-1.50408,0.268938,0.967726,-0.147792
178,-0.369051,0.877771,-1.5303,0.273967,1.00435,-0.151738
179,-0.384478,0.876642,-1.55645,0.27902,1.04093,-0.155662
180,-0.399931,0.875467,-1.58253,0.284097,1.07746,-0.159564
181,-0.41541,0.874249,-1.60855,0.289198,1.11396,-0.163447
182,-0.430915,0.87299,-1.63451,0.294321,1.15043,-0.16731
183,-0.446448,0.871691,-1.66041,0.299466,1.18685,-0.171157
184,-0.462008,0.870354,-1.68624,0.304633,1.22325,-0.174987
185,-0.477597,0.86898,-1.71201,0.309822,1.25961,-0.178802
186,-0.493215,0.867572,-1.73772,0.315031,1.29593,-0.182603
